Step	Title	Time	Command	Command	Cmd	Seq	Telemetry	Telemetry	Expected	Units	Telemetry	Other	Crit	Description	Notes	RT	Tlm	Min	SIM
\#	4.31\_V2.6	(mins)	Description	Mnemonic	EGSE	Key	Description	Mnemonic	Value		EGSE	Verifier				Con	Fmt	Alt	Pos
1	Power down all video\\boards																		
1.1	Power down all video boards	1	changeConfigSetting	WSVIDALLDN							Verify cmdResult==OK\\commandEcho 1541		B	Skip this step if a BEP is NOT active and NOT ready to execute commands.					
												pmon	B	10 DEACCD POWEROFF messages					
2	Turn off DEA B	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2.1	DEA Power B Off 	1	DEA PS Off B 	1DEPSBOF 	 	 	DEA B ON/OFF 	1DEPSB 	OFF 	 	 	 	 	Ignore if DPA unpowered	 	 	1,2,4,6	 	 
 	 	 	 	 	 	 	DEA Input V B	1DE28BVO 	25.0--34.0	V 	 	 	2		 	 	 	 	 
 	 	 	 	 	 	 	DEA +28 V B 	1DEP3BVO 	$0.0\pm0.5$	V 	 	 	2	 	 	 	 	 	 
 	 	 	 	 	 	 	DEA +24 V B 	1DEP2BVO 	$0.0\pm0.5$	V 	 	 	1	 	 	 	 	 	 
 	 	 	 	 	 	 	DEA +15 V B 	1DEP1BVO 	$0.0\pm0.5$	V 	 	 	2	 	 	 	 	 	 
 	 	 	 	 	 	 	DEA +6 V B 	1DEP0BVO 	$0.0\pm0.5$	V 	 	 	2	 	 	 	 	 	 
 	 	 	 	 	 	 	DEA -6 V B 	1DEN0BVO 	$0.0\pm0.5$	V 	 	 	2	 	 	 	 	 	 
 	 	 	 	 	 	 	DEA -15 V B 	1DEN1BVO 	$0.0\pm0.5$	V 	 	 	2	 	 	 	 	 	 
2.2	Disable DEA PS B 	1	DEA PS B Dis 	1DEPSBDS 	 	 	DEA B Dis 	1DEPSBX 	DIS 	 	 	 	 	Ignore if DPA unpowered	 	 	1,2,4,6	 	 
